"transaction_id","account_id","transaction_date","posting_date","amount","currency","description","merchant_name","merchant_category_code","transaction_type","category","subcategory","is_recurring","location_city","location_state","location_country","label_source"
"TXN0000001","ACCT001","2023-02-01","2023-02-02","-95.32","USD","Whole Foods Market #2094","Whole Foods Market","5411","debit","groceries","supermarket","false","Austin","TX","US","automated"
"TXN0000002","ACCT001","2023-02-28","2023-03-01","2500","USD","Salary Payment ACME Corp","ACME Corp","","deposit","income","salary","true","Austin","TX","US","automated"
"TXN0000003","ACCT002","2023-02-05","2023-02-07","-56.8","USD","Netflix Subscription Feb","Netflix","4899","debit","entertainment","streaming_service","true","Seattle","WA","US","automated"
"TXN0000004","ACCT003","2023-02-26","2023-02-28","-1350","USD","GreenLeaf Apartments Rent","GreenLeaf Apartments","6513","payment","housing","rent","true","San Francisco","CA","US","manual"
"TXN0000005","ACCT004","2023-02-11","2023-02-13","-45","USD","Starbucks Coffee","Starbucks","5814","debit","dining","coffee_shop","false","Los Angeles","CA","US","automated"
"TXN0000006","ACCT005","2023-02-03","2023-02-03","-120.79","EUR","Amazon DE Order #584139","Amazon DE","5942","debit","shopping","online_retail","false","Berlin","BE","DE","automated"
"TXN0000007","ACCT006","2023-02-08","2023-02-09","-88.99","GBP","Tesco Superstore Groceries","Tesco","5411","debit","groceries","supermarket","false","London","","GB","automated"
"TXN0000008","ACCT002","2023-02-19","2023-02-20","-135","USD","Comcast Utilities Bill","Comcast","4814","payment","utilities","internet","true","Seattle","WA","US","automated"
"TXN0000009","ACCT007","2023-02-17","2023-02-17","-72.49","CAD","Hudson's Bay Apparel","Hudson's Bay","5651","debit","shopping","clothing","false","Toronto","ON","CA","automated"
"TXN0000010","ACCT008","2023-02-12","","-9.99","USD","Apple Music Subscription","Apple Music","5735","debit","entertainment","music_streaming","true","New York","NY","US","automated"
"TXN0000011","ACCT009","2023-02-10","2023-02-12","-435.5","EUR","GreenLeaf Apartments Rent","GreenLeaf Apartments","6513","payment","housing","rent","true","Munich","BY","DE","manual"
"TXN0000012","ACCT010","2023-02-04","2023-02-05","-13.7","USD","Uber Ride Downtown","Uber","4121","debit","transportation","ride_sharing","false","Chicago","IL","US","automated"
"TXN0000013","ACCT011","2023-02-18","2023-02-20","-99.99","AUD","Optus Mobile Bill","Optus","4812","payment","utilities","mobile","true","Sydney","NSW","AU","automated"
"TXN0000014","ACCT012","2023-02-15","2023-02-16","-320","USD","StateFarm Auto Insurance","StateFarm","6300","payment","insurance","auto","true","Dallas","TX","US","automated"
"TXN0000015","ACCT013","2023-02-01","2023-02-03","-15.99","USD","Spotify Family Plan","Spotify","5735","debit","entertainment","music_streaming","true","Boston","MA","US","automated"
"TXN0000016","ACCT014","2023-02-09","2023-02-10","-7.5","USD","PayPal Test Transaction","","","other","uncategorized","","false","","","","manual"
"TXN0000017","ACCT015","2023-02-20","2023-02-20","-2.5","USD","Chase ATM Withdrawal Fee","Chase Bank","6011","fee","bank_fees","atm_fee","false","Miami","FL","US","automated"
"TXN0000018","ACCT001","2023-02-21","2023-02-22","44.99","USD","Amazon US Refund","Amazon US","5942","refund","shopping","refund","false","Austin","TX","US","manual"
"TXN0000019","ACCT016","2023-02-27","","-0.01","INR","Micro UPI Debit Test","","","transfer","transfers","upi","false","","","IN","manual"
"TXN0000020","ACCT004","2023-02-23","2023-02-24","-18.25","USD","Barnes & Noble Book","Barnes & Noble","5942","debit","shopping","books","false","Los Angeles","CA","US","automated"
